orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
arnwerarrenke,arnwerarrenke,2,vi.,NA,hum
arrakake,arrakake,NA,n.,NA,"harelip, injured mouth"
arrakelakele,arrakelakele,2,n.,NA,"alone, lonely, without company, on one's own"
arrakwerakwere,arrakwerakwere,NA,n.,NA,spiny-cheeked honeyeater
arrale,arrale,NA,n.,NA,old-man saltbush
arralkelatnharrenke,arralkelatnharrenke,NA,vt.,NA,open a door or bonnet
arralkelhaylenke,arralkelhaylenke,NA,vt.,NA,get someone to open something
arralkenke,arralkenke,NA,vi.,NA,yawn
arralpeletnhenke,arralpeletnhenke,3,vt.,NA,"throw something away, get rid of something. People..."
arralty-anenke,arralty-anenke,NA,vi.,NA,have a feeling that something bad is going to happ...
arraly-arralyarrenke,arraly-arralyarrenke,NA,vi.,shine,"shine, twinkle, shimmer, glisten"
arralyalkere,arralyalkere,NA,n.,NA,"sideways, on its side"
arramilenke,arramilenke,2,vt.,NA,"answer someone, reply, respond"
arrangalthenke,arrangalthenke,2,vt.,shout at,"shout at someone in a rude or angry voice, scare s..."
arrangarenke,arrangarenke,NA,vt.,NA,"aim, hold up a weapon ready to hit someone or some..."
arrangke akwenke,arrangke akwenke,2,vt.,NA,give water to someone
arrangkere,arrangkere,NA,n.,NA,strong desire for a particular food
arrangkwenarre,arrangkwenarre,2,n.,long beard,long beard
arrantye,arrantye,NA,n.,waterbag,kangaroo or euro skin waterbag
arrantyetyantyenge,arrantyetyantyenge,NA,n.,NA,ground that is salty. Kangaroos scratch the ground...
arranywete,Arranywete,NA,n.,NA,soakage north of Barrow Creek. Also known as Gover...
arrapere,arrapere,NA,n.,NA,"curly wiregrass, firegrass"
arrapertarrenke,arrapertarrenke,NA,vi.,NA,"get pins and needles, go numb, (of part of your bo..."
arrarletye,arrarletye,NA,n.,NA,"swearing, vulgar language, rude words, foul-mouthe..."
arrarr-atnhenke,arrarr-atnhenke,NA,vt.,NA,"cut along the side or edge of something, such as w..."
arrarrarrarrenke,arrarrarrarrenke,2,vi.,NA,rock or soothe a baby to sleep
arrathatnenke,arrathatnenke,NA,vt.,NA,"stare at something in the distance, watch somethin..."
arratnharlkwe,arratnharlkwe,NA,n.,NA,"speech impediment, stutter, lisp"
arratweke,arratweke,NA,n.,NA,seeds from the pencil yam <em>apite</em>
arratyarenge,Arratyarenge,NA,n.,NA,Claypan Bore. Place north-west of Barrow Creek
arratye,arratye,NA,n.,NA,black-footed rock wallaby
arratyeyeperneye,Arratyeyeperneye,NA,n.,NA,Soakage south-west of Stirling
arraylentye,arraylentye,NA,n.,sorcery,"sorcery, magic, supernatural powers caused by a pe..."
arraylpethekilenke,arraylpethekilenke,NA,vt.,NA,grab something quickly for yourself; seize
arraynterrke,arraynterrke,2,n.,NA,dry lips
arre,"arre |1, arre |2",2,n.,NA,mouth
arrekarlkarlke,arrekarlkarlke,NA,n.,NA,type of black ant
arrel-aytenke,arrel-aytenke,4,vt.,do and go,set something down and then go; set down before le...
arrelange,"arrelange |1, arrelange |2",4,n.,north-west wind,Sticky herbs about 25 cm with flowers forming erec...
arrelkarte,arrelkarte,NA,n.,NA,"strong taste, strong flavour"
arrelkartepwenke,arrelkartepwenke,NA,vi.,crave meat,feel hungry for meat
arrelkere,arrelkere,NA,n.,NA,grey
arrelketyelke,arrelketyelke,NA,n.,NA,foam (on dog's mouth)
arrelp-arrenke,arrelp-arrenke,2,vt.,NA,leave someone or something behind
arrelpathenke,arrelpathenke,3,vt.,NA,"throw something away, get rid of something"
arrelperr-elperre,arrelperr-elperre,NA,n.,NA,"big-mouthed, wide-mouthed"
arrelthatnenge,Arrelthatnenge,NA,n.,NA,Old Army Camp at New Barrow; Tom's Well; New Barro...
arrelwere,arrelwere,NA,n.,NA,having no teeth
arrelyarrenke,arrelyarrenke,2,vi.,NA,"hair stand on end; get goosebumps from sickness, c..."
arrelyaylenke,arrelyaylenke,NA,vt.,NA,"give someone a fright, startle someone, scare some..."
arremaltye rlteye-rlteye,arremaltye rlteye-rlteye,2,n.,NA,New Holland rattlepod
arremarrale,arremarrale,NA,n.,NA,"everywhere, all over, scattered, spread about"
arremarrarrenke,arremarrarrenke,NA,vi.,sneak up,"get closer to something, sneak up on something"
arreme,"Arreme, arreme",NA,n.,NA,place on Arnerre country
arremelye-melye,arremelye-melye,NA,n.,NA,"light, glistening, bright"
arremerraye,arremerraye,NA,n.,NA,"what about you, are you alright, how about you? Wa..."
arremparrange,arremparrange,3,n.,spirit,"type of spirit, person's spirit double, guardian a..."
arrempelarrenke,arrempelarrenke,2,vi.,NA,"go, come. A special word used by a woman's son-in-..."
arrempelarrenkerne,arrempelarrenkerne,NA,vi.,NA,come towards the person speaking. A special word u...
arrempelinenke,arrempelinenke,2,vt.,NA,"give, take, look, do. Special way of talking betwe..."
arrenentye,arrenentye,NA,n.,NA,how many
arrenge atnhenke,arrenge atnhenke,NA,vt.,NA,bite or break something off with your teeth
arrenge rntwenke,arrenge rntwenke,NA,vt.,NA,bite or break something off with your teeth
arrengetwepe,arrengetwepe,NA,n.,NA,"everyone, people from all over"
arrengeye,arrengeye,6,kin.,NA,father's father
arrengilenke,arrengilenke,NA,vt.,attach,attach something to something else
arrengkere,arrengkere,NA,adv.,NA,"quick, fast"
arrengkwe,arrengkwe,7,kin.,NA,mother
arrenke,"arrenke |1, arrenke |2",15,vt.,travel,"put, set something (down)"
arrenkerne,"arrenkerne |1, arrenkerne |2",2,vi.,shine on,arrive at a place which is in the direction of the...
arrente,Arrente,2,n.,NA,Arrernte people.
arrentyarrenke,arrentyarrenke,NA,vi.,NA,be greedy or selfish
arrentye,arrentye,4,n.,NA,"monster, devil, evil spirit"
