orthography,lx_entries,sn_max,ps_1,gl_1,de_1_50
ltywere-ltywere,ltywere-ltywere,NA,n.,NA,full of holes
ltywerewenke,ltywerewenke,NA,vt.,NA,open something
lwanenge,lwanenge,NA,NA,NA,towards
lwemanenke,lwemanenke,4,vi.,NA,"come out, emerge"
lwematnenke,lwematnenke,2,vi.,NA,"sprout, grow, flower"
lwemelhaylenke,lwemelhaylenke,2,vt.,NA,"make someone come out, bring or take something out..."
lwemparenye,lwemparenye,NA,n.,NA,a person who stays in one place and doesn't travel...
lwempatnewene,Lwempatnewene,NA,n.,NA,Nine Mile Waterhole
lwempe,lwempe,2,n.,NA,"own place, homeland, country"
lwenge-lwengarrenke,lwenge-lwengarrenke,2,vi.,NA,"take someone halfway, see someone off, accompany s..."
lwenge-lwenge,lwenge-lwenge,3,n.,NA,"something you have been given, such as food or a g..."
lwengerathenke,lwengerathenke,NA,vt.,NA,leave something so it will be there for later when...
lwengeratherre,lwengeratherre,NA,adv.,NA,(do something) to each other
lwengeratherre-lwengeratherre,lwengeratherre-lwengeratherre,NA,adv.,NA,(do something) back and forth to one another
lwengere,lwengere,NA,n.,NA,"in return, square up"
lwengereke-lwengere,lwengereke-lwengere,2,adv.,NA,"back and forth, in return"
lwengk-arenke,lwengk-arenke,2,vt.,recognise,recognise or know by sight
lwengk-elpathenke,lwengk-elpathenke,NA,vt.,NA,recognise the sound of someone or something
lwengkaye,lwengkaye,NA,n.,NA,special mark put on forehead and tummy that protec...
lwengkelareye,lwengkelareye,NA,n.,NA,"a well-known person, famous"
lwentyerre,lwentyerre,NA,n.,NA,long stripe painted on the face by both men and wo...
lwepelaytenke,lwepelaytenke,NA,vi.,come out,"come out, emerge (of birds or animals)"
lwepelpe,lwepelpe,NA,n.,NA,"unexpectedly, all of a sudden (of weather)"
lweperre,lweperre,NA,n.,NA,blue mallee
lwerapmenke,lwerapmenke,2,vt.,shoo away,"hunt or shoo something away, tell someone to go, s..."
lwerrempanenke,lwerrempanenke,NA,vi.,NA,travel together in a gang. Describes the way a gro...
lwete,lwete,3,n.,NA,discarded things
lwete-lwete,lwete-lwete,NA,pv.,NA,(do something) that you don't want to do
lwethange,lwethange,2,n.,NA,"part, section or piece of something"
lwetharlarrenke,lwetharlarrenke,NA,vt.,NA,"cut across, go through the middle of something, ta..."
lwethe,lwethe,NA,pv.,halves,Goes before some verbs to show that the action cau...
lwethepe,lwethepe,NA,n.,NA,matches
lyatye,lyatye,NA,n.,NA,young boy. A respectful way of referring to a youn...
lyelyawe,lyelyawe,NA,n.,NA,"rain, a shower, a sprinkle of rain"
lyelyerre,lyelyerre,2,n.,NA,new shoots of bush potatoes <em>anatye</em>
lyenty-arenke,lyenty-arenke,NA,vt.,NA,"look at yourself, admire yourself, spend time maki..."
lyepe-lyepe,lyepe-lyepe,NA,n.,NA,"small intestines, milk guts"
lyere,lyere,NA,n.,round grinding stone,hand-held stone used for grinding tobacco and drie...
lyerre-lyerre,lyerre-lyerre,8,n.,NA,various types of wrens including
lyerrere,lyerrere,NA,n.,NA,"slender, fine, thin. Not used for people."
lyerrmewe,lyerrmewe,NA,n.,NA,"winter, cold weather"
lyerrtyarrenke,lyerrtyarrenke,NA,vi.,NA,catch alight
lyerrtye,lyerrtye,2,n.,flame,flame
lyerrtyinenke,lyerrtyinenke,NA,vt.,NA,light a fire
lywekenke,lywekenke,NA,vt.,NA,light a fire
lywempe-lywempe,lywempe-lywempe,NA,n.,NA,desert heath myrtle
lywengkerte,lywengkerte,NA,n.,NA,today
m-m,m-m,2,part.,NA,"that's right, I agree. Often used in conversation ..."
make,make,NA,part.,NA,"you'd think that, (someone) should have"
makete,makete,NA,n.,NA,gun
makwerle,makwerle,NA,n.,NA,"many, lots of, a big group of"
makwerleng-areye,makwerleng-areye,NA,n.,NA,"many times, often"
makwernte,makwernte,NA,n.,NA,"spouse's brother, brother-in-law"
malangke,malangke,2,n.,nice,"nice, pretty, healthy, beautiful, attractive, fanc..."
malemale,malemale,2,n.,funeral_meeting,a meeting of families after someone has passed awa...
malewike,malewike,NA,n.,NA,the week every fortnight when people receive unemp...
mamame,mamame,NA,kin.,NA,mothers brother
mame,mame,NA,NA,NA,mum
mamperle,mamperle,NA,n.,lovely,"lovely, nice, tasty, beautiful, splendid"
mamperle-mamperle,mamperle-mamperle,NA,n.,NA,someone who thinks they are really good
mamperlengenye,mamperlengenye,NA,n.,NA,really nice or beautiful
manatwerrpe,manatwerrpe,NA,n.,NA,oval-leaved cassia
maneye,maneye,NA,n.,NA,money
mangkalyangkalye,mangkalyangkalye,NA,n.,NA,top part of a <em>kwertare</em> ceremonial hat. It...
mangwe,mangwe,NA,n.,NA,cat
manhenge,Manhenge,NA,n.,NA,soakage south of Barrow Creek
manparrkartnenge,Manparrkartnenge,NA,n.,NA,place name
manparrpe,manparrpe,NA,n.,NA,ghost
mantalyarrpe,mantalyarrpe,NA,n.,NA,large boil with three or more heads on it
mantarre,mantarre,2,n.,NA,clothes
mantekarre,mantekarre,NA,n.,NA,type of python. Possibly children's python
mantharre,mantharre,NA,n.,NA,death adder
manywenarrenke,manywenarrenke,NA,vi.,NA,unable to finish eating something because you are ...
manywene,manywene,NA,n.,NA,"lots, piles of food"
manywene-manywene,manywene-manywene,NA,n.,NA,"lots of food, feast"
manyweninenke,manyweninenke,2,vt.,NA,unable to finish eating something because you are ...
maranye,maranye,2,n.,NA,"in the proper way, in a certain way"
mare-mare,mare-mare,2,n.,NA,not cooked properly
marlalperre,marlalperre,2,n.,NA,yellow ochre
marlalperre-marlalperre,marlalperre-marlalperre,NA,n.,NA,pale yellow
marlatyatye,marlatyatye,NA,n.,NA,young boy. Often used to describe a young naked bo...
marle,marle,4,n.,girl,girl
marlekalyeyalyeye,marlekalyeyalyeye,3,n.,NA,"caustic bush, desert spurge"
marlengarre,marlengarre,NA,n.,NA,"mussel, oyster"
marlerarrenke,marlerarrenke,NA,vi.,NA,"fill out, get plump and healthy"
marlere,marlere,3,n.,NA,smooth
marlerinenke,marlerinenke,NA,vt.,NA,make something smooth
marlwenthe,marlwenthe,2,n.,NA,married (said by a woman about her daughter and he...
marnte,marnte,NA,n.,NA,bus
marntepale,marntepale,2,n.,NA,black gidgee
marrapawe,Marrapawe,NA,n.,NA,name of soakage in the western part of Tyarre-Tyar...
marrawatyakake,Marrawatyakake,NA,n.,NA,place on western side of Stuart Highway south of A...
marrawatye,marrawatye,NA,n.,NA,native walnut
martekwere,martekwere,2,n.,soft feathers,"down, soft feathers from birds such as eagles <em>..."
mataye,mataye,2,n.,NA,cloud
matyarte,matyarte,NA,n.,pubic tassel,"men's waistbelt, pubic tassel, cock-rag"
matyawanke,matyawanke,3,n.,death wish,"bad omen, death wish, someone who is about to get ..."
matywerle,Matywerle,NA,n.,NA,Donkey Creek
mawenarre,mawenarre,NA,n.,NA,type of large reddish fly that lives near the wate...
mawennge,mawennge,2,n.,death wish,"bad omen, death wish, someone who is about to get ..."
mayethe,mayethe,NA,n.,NA,white boss
mayngaynge,mayngaynge,NA,n.,NA,"type of pigeon, possibly flock bronzewing"
mayte,mayte,NA,n.,NA,might
me,me,NA,part.,NA,take it
melkeye-melkeye,melkeye-melkeye,NA,NA,NA,desert spadefoot toad. This frog has a milky back....
melperre,melperre,NA,n.,distant rain clouds,rain clouds that are a long way away. These clouds...
meltye-meltye angkenke,meltye-meltye angkenke,NA,vi.,NA,whimper excitedly (dogs). Dogs do this when they a...
menhenge,menhenge,NA,n.,NA,"mother and child, uncle and niece or nephews"
mente,mente,NA,n.,NA,way of grieving after someone's death. Such behavi...
mentye,mentye,4,n.,leave,"leave it, let"
mentye-mentye,mentye-mentye,NA,n.,NA,leftovers
mentyinenke,mentyinenke,3,vt.,NA,"knock something back, refuse something"
mentyintel-aytenke,mentyintel-aytenke,NA,vt.,NA,"leave something behind, abandon something"
menye,menye,NA,n.,NA,vegetable food
menyempere,menyempere,NA,n.,NA,"turpentine bush, Sturt's desert fuchsia"
merlalpe,merlalpe,NA,n.,ghost-like being,type of ghost-like being that lives in the bush an...
merlentye,Merlentye,NA,n.,NA,Five Mile
merlenye,merlenye,NA,n.,NA,"Goes before certain words that describe positions,..."
merlpere,merlpere,NA,n.,NA,oesophagus
mernantye,mernantye,NA,n.,NA,froth on a floodwater
merne,merne,2,n.,NA,"food from plants and trees such as fruit, vegetabl..."
mernelkwarre,mernelkwarre,2,n.,NA,turkey bush
mernperre,mernperre,NA,n.,NA,seed capsules of bloodwood trees
merrinte,merrinte,1,n.,NA,"murderer, someone who has done something wrong and..."
metethene,metethene,NA,n.,NA,"non-indigenous medicine; tablets, pills"
methethe,methethe,NA,n.,NA,white woman
metyalpe,metyalpe,NA,n.,NA,Aboriginal person from the top end; Kriol speaking...
metyaytnenke,metyaytnenke,2,vt.,NA,"stop halfway, unable to make it to where you are g..."
metye,metye,2,n.,NA,blunt
mewe-mewe,mewe-mewe,NA,n.,NA,cow
meyarre,meyarre,NA,n.,NA,cat
meye-meye,meye-meye,2,n.,NA,"woman's son-in-law, woman's daughter's husband"
meyewale,meyewale,NA,n.,NA,mule
mimarre,mimarre,NA,pv.,NA,"noise, racket from lots of people or things talkin..."
mime,mime,NA,n.,NA,sick
mitatyenge,mitatyenge,NA,n.,NA,my girlfriend or boyfriend
mite-mite,mite-mite,NA,n.,NA,"girlfriend, boyfriend, lover"
mm,mm,NA,part.,NA,no. Often used in conversation to show disagreemen...
mparlkwe,mparlkwe,NA,n.,NA,mouse nest
mparntarenye,mparntarenye,NA,n.,NA,married person
mparnte,mparnte,5,n.,middle,middle
mparrwekele,mparrwekele,2,n.,NA,in front
mpe,mpe,NA,part.,NA,let's go
mpe+,mpe+,NA,pre.,NA,Goes on the front of some words to make a word in ...
mpelaperte,mpelaperte,NA,dem.,NA,"always like that, just like that"
mpelarte,mpelarte,NA,dem.,NA,"like that, in this way; thus, this is how (while s..."
mpelawerre,mpelawerre,NA,n.,NA,old male kangaroo
mpele,mpele,NA,part.,NA,"thus, like that, you know, right"
mpele+,mpele+,NA,pre.,thus,Goes before nominal endings to mean 'that' or 'the...
mpeleketyarte,mpeleketyarte,2,dem.,NA,in case of that
mpelelerarre,mpelelerarre,2,dem.,NA,"while that is going on, while someone is doing thi..."
mpelentyengere,mpelentyengere,NA,dem.,NA,for that many days
mpelerlenye,mpelerlenye,NA,dem.,NA,"on that side, in that direction (while pointing)"
mpertaltye,mpertaltye,2,n.,NA,woman's son-in-law
mpetyakwerte,Mpetyakwerte,NA,n.,NA,skin name. <em>Mpetyane</em> woman
mpetyane,Mpetyane,NA,n.,NA,skin name
mpetyane-mpetyane,mpetyane-mpetyane,2,n.,NA,inedible seeds of the bean tree <em>tyweretye</em>...
mpewarrenke,mpewarrenke,NA,vi.,NA,lean something against something else
mpewe,mpewe,NA,pv.,NA,against. Goes before some verbs to mean leaning on...
mpewe-mpewe,mpewe-mpewe,2,n.,NA,car
mpwanye,mpwanye,NA,n.,NA,brother-in-law at the age of initiation
mpwarangarange,mpwarangarange,NA,n.,NA,"tools, toolbox"
mpwarenke,mpwarenke,5,vt.,make,do
mpwarle,mpwarle,2,n.,foot side,foot side of the bed
mpwarrtye,mpwarrtye,NA,n.,NA,side of a dancing ground where people wait in prep...
mpwe,mpwe,2,n.,NA,urine
mpwekare,mpwekare,NA,n.,NA,"bad, mischievous, promiscuous"
mpwekenhe,mpwekenhe,2,n.,NA,"rattling frog, northern burrowing frog"
mpwelakakeye,mpwelakakeye,NA,pr.,NA,you mob. Used when the people referred to are in t...
mpwelake,mpwelake,2,pr.,2duSMOG_NOM,you two. Used where the two people are in the same...
mpwelanthe,mpwelanthe,3,pr.,2duOM,you two. Used where the two people are in differen...
mpwelarre,mpwelarre,NA,n.,NA,rainbow
mpwele,mpwele,2,pr.,2duSMSG,you two. Used where the two people are in the same...
mpwengelerrpe,mpwengelerrpe,NA,n.,NA,in its own wee. Some type of frogs hibernate in th...
mpwengimpe,mpwengimpe,NA,n.,NA,smell of first rain on dry ground
mpwenyarte-mpwenyarte,mpwenyarte-mpwenyarte,NA,n.,NA,"lover boy, someone who finds a new lover at every ..."
mpwenye,mpwenye,2,n.,NA,"love, sex, romance, promiscuity"
mpwenyelpe,mpwenyelpe,2,n.,NA,desert mouse
mpwepe-mpwarenke,mpwepe-mpwarenke,NA,vt.,NA,build something quickly
mpweranenke,mpweranenke,NA,vi.,puff up,"puff up, swell up"
mpwere,mpwere,2,n.,NA,hump
mpwere-mpwere,"mpwere-mpwere, Mpwere-mpwere",3,n.,NA,wavy marshwort
mpwerelenge,mpwerelenge,NA,n.,NA,high pile of grass made by small marsupials such a...
mpwerelhe-mpwerelhe,mpwerelhe-mpwerelhe,2,n.,NA,"lumpy, bumpy"
mpwerilenke,mpwerilenke,NA,vt.,pile up,pile or stack something up
mpwerlethingke,mpwerlethingke,NA,n.,NA,darkling beetle
mpwerlilenge,mpwerlilenge,NA,n.,NA,striped desert cockroach
mpwerneye,mpwerneye,6,kin.,NA,"spouse, husband, wife"
mpwerneye-mpwerneye,mpwerneye-mpwerneye,NA,kin.,NA,more than one person related as brothers-in-law or...
mpwernitarr-itarre,mpwernitarr-itarre,NA,n.,NA,stripe-faced dunnart
mpwertetyenge,mpwertetyenge,NA,n.,NA,"bladder, urinary tract"
mpwewake,mpwewake,4,pr.,2duSMOG,you two. This pronoun is used when a type I (trans...
mpwewakeyenge,mpwewakeyenge,2,pr.,NA,"your, yours, belonging to you two (e.g. father and..."
mpwewanthe,mpwewanthe,5,pr.,2duOM,you two. This pronoun is used when a type I (trans...
mpwewantheyenge,mpwewantheyenge,2,pr.,NA,"your, yours, belonging to you two. Used where the ..."
mpwewe,mpwewe,4,pr.,2duSMSG_ACC,you two. This pronoun is used when a type I (trans...
mpwewenhake,mpwewenhake,5,pr.,NA,"yourselves (two people); on your own, in your own ..."
mpwewenhanthe,mpwewenhanthe,5,pr.,NA,"yourselves (two people), on your own. Used where t..."
mpwewenhe,mpwewenhe,5,pr.,NA,"yourselves (two people), on your own, in your own ..."
mpweweyenge,mpweweyenge,NA,pr.,NA,"your, yours, belonging to you two. Used where the ..."
mpweyampe,mpweyampe,NA,n.,thin,"skinny, thin"
mpweyampe-mpweyampe,mpweyampe-mpweyampe,NA,n.,NA,frail and sick
mwantye,mwantye,NA,n.,NA,"careful, slowly, gently"
mwantye-mwantye,mwantye-mwantye,NA,adv.,NA,"carefully, on the lookout, worried for, concerned ..."
mwanyeme,mwanyeme,2,n.,NA,banana-flavoured bush tomato
mwate,mwate,NA,n.,thick,"thick, fat, solid, stumpy"
mwate-mwate,mwate-mwate,NA,n.,NA,things that are thick or close together
mwekarte,mwekarte,NA,n.,NA,hat
mwekarte-mwekarte,mwekarte-mwekarte,NA,n.,NA,part of cow guts. Possibly stomach lining.
mwekenharrenke,mwekenharrenke,2,vi.,NA,"break the law, do something seriously wrong"
mwekenhe,mwekenhe,NA,n.,NA,sacred place
mwelpere,mwelpere,3,n.,NA,"windpipe, throat"
mwelyare,mwelyare,NA,n.,NA,bush stone-curlew
mweneye-mweneye,mweneye-mweneye,NA,n.,NA,moon
mwenganpe,mwenganpe,NA,n.,NA,last two dancers in an <em>ltharte</em> or <em>ang...
mwengkarte,Mwengkarte,NA,n.,NA,Mungkart. Community at McLaren Creek.
mwenke,mwenke,NA,vt.,stuck,stick to something
mwenngarrenke,mwenngarrenke,2,vi.,NA,"follow someone around, tag along, hang around"
mwenthe,mwenthe,NA,n.,NA,"wart, sore"
mwenthe-mwenthe,mwenthe-mwenthe,NA,n.,NA,"rough, bumpy, rash"
mwenyente,mwenyente,NA,n.,NA,"scared, frightened to fight, chicken, not game, sc..."
mweremenke,mweremenke,NA,n.,NA,blowfly
mwerenhengatherre,mwerenhengatherre,NA,n.,NA,man and his mother-in-law's brother
mwererre,Mwererre,NA,n.,NA,Milky Way
mwerlerre,"mwerlerre, Mwerlerre",2,n.,NA,"turpentine wattle, hill turpentine"
mwerlpaynenke,mwerlpaynenke,NA,vt.,NA,"bite, gnaw, chew"
mwernakeletheye,mwernakeletheye,NA,n.,NA,"on the other side of something, behind something"
mwernarte,mwernarte,NA,n.,this_way,this way. In the direction of the person speaking ...
mwernenge,mwernenge,2,n.,NA,"clothes, belongings, gear, possessions, things"
mwernenye,mwernenye,NA,n.,NA,"close up to, near by"
mwerrkerrkerre,mwerrkerrkerre,NA,n.,NA,type of women's ceremonial designs
mwete,mwete,2,n.,NA,throwing stick
mwete-mwete,mwete-mwete,NA,n.,NA,"ant-lion, lacewing larvae"
mweteke,mweteke,NA,n.,NA,"car, vehicle, truck"
mwey-enenke,mwey-enenke,NA,vt.,NA,"cling, grab hold of something tightly"
mweye-mwey-enenke,mweye-mwey-enenke,NA,vt.,NA,hang on to something very tightly
nakamarre,Nakamarre,NA,NA,NA,skin name. <em>Kemarre</em> woman
nake,nake,NA,n.,NA,"waistbelt, pubic tassel, cock-rag, traditional ski..."
nakemarre,Nakemarre,NA,NA,NA,skin name. <em>Kemarre</em> woman
nakwelkelayte,nakwelkelayte,NA,n.,NA,inedible caterpillar that lives on native currant ...
nalale,nalale,NA,n.,NA,flower of the yam plant <em>anatye</em>.
namengayerre,namengayerre,NA,n.,NA,yellow termite at the flying stage
nampetyenpe,Nampetyenpe,NA,NA,NA,skin name. <em>Mpetyane</em> woman
nangale,Nangale,NA,NA,NA,skin name. <em>Thangale</em> woman
nanikwerte,nanikwerte,NA,n.,NA,goat
nantewarenye,nantewarenye,NA,n.,NA,horsetailer
nantewe,nantewe,NA,n.,NA,horse
napeltyarreye,Napeltyarreye,NA,NA,NA,skin name. <em>Kapetye</em> woman
napenangke,Napenangke,NA,NA,NA,skin name. <em>Pengarte</em> woman
napengarteye,Napengarteye,NA,NA,NA,skin name. <em>Pengarte</em> woman
napennge,napennge,NA,n.,NA,"shovel-nosed spear, lance, fighting spear"
napeye,napeye,NA,n.,NA,goat or cow with no horns
napwerrerle,Napwerrerle,NA,NA,NA,skin name. <em>Pwerle</em> woman
nate,nate,2,part.,don't,"can't, won't, shouldn't, not allowed"
nawe,"nawe |1, nawe |2",NA,part.,NA,that person or thing just mentioned
naynewe,naynewe,NA,n.,human guts,internal organs such as guts and large intestines ...
nekelethe,nekelethe,NA,n.,NA,necklace
nekete,nekete,NA,n.,NA,naked
newe,newe,NA,part.,NA,"don't, didn't, won't"
neweme,neweme,2,conj.,NA,not. Goes before verbs to show that the action doe...
ngalalaye,ngalalaye,NA,exc.,NA,"oops, whoops, Woops-a-daisy. An exclamation said t..."
ngalepwerre,ngalepwerre,2,n.,SEQ,soft part of a baby's head
ngalyerre,Ngalyerre,NA,n.,NA,skin name. <em>Kapetye</em> woman
ngamane,Ngamane,NA,n.,NA,skin name. <em>Penangke</em> woman
ngamparlarre,Ngamparlarre,NA,n.,NA,Mudhut. Place east of Stirling.
ngampe-ngampe,ngampe-ngampe,NA,n.,lively,"lively, happy, enthusiastic, chirpy, in a good moo..."
ngamperle,Ngamperle,NA,n.,NA,skin name. <em>Pwerle</em> woman
ngampeyarte,Ngampeyarte,NA,n.,NA,skin name. <em>Pengarte</em> woman
ngangkale,Ngangkale,NA,n.,NA,skin name. <em>Thangale</em> woman
ngangkaye,ngangkaye,4,n.,NA,"traditional healer, Aboriginal doctor, nangkari"
nganke,nganke,2,n.,NA,little crow
ngapantye,ngapantye,NA,n.,NA,eye
ngapete,Ngapete,NA,n.,NA,skin name. <em>Kngwarraye</em> woman
ngarntate,"ngarntate, Ngarntate",NA,n.,NA,"native bee, guard bee"
ngarrete,ngarrete,NA,n.,anxious,"worried, anxious, unsettled"
ngarrpaneye,Ngarrpaneye,NA,n.,NA,Murdoch's Hill. Place north of Barrow Creek.
ngarrparenye,ngarrparenye,NA,n.,NA,"loner, on your own, by yourself"
ngarrpe,ngarrpe,3,n.,NA,one
ngarrpe-ngarrpe,ngarrpe-ngarrpe,NA,n.,NA,"each one, individually, separately"
ngarrpinenke,ngarrpinenke,NA,vt.,NA,"separate, divide"
ngarte-ngarte,ngarte-ngarte,2,n.,NA,"bearer of messages, go-between"
ngatywelarre,ngatywelarre,2,n.,hairstring apron,traditional women's hairstring skirt which is tied...
ngawerre,ngawerre,NA,n.,NA,storm
ngayakwerre,ngayakwerre,NA,adv.,NA,moving in the air
ngayeketye,ngayeketye,NA,n.,NA,woman. Used by a man to refer to a women who is no...
ngayele,ngayele,4,n.,NA,hungry
ngayele-ngayele,ngayele-ngayele,3,n.,NA,hungry people
nge,nge,NA,pr.,NA,you. Used by the doer of a type II (intransitive) ...
ngelyawelyawe,ngelyawelyawe,NA,n.,drizzle,"fine rain, drizzle, light shower"
ngelyerre,ngelyerre,NA,n.,NA,"button grass, finger grass, toothbrush grass"
ngentye,ngentye,2,n.,NA,soakage. Water in a creek bed or in sandhill count...
ngerleyerleye,ngerleyerleye,NA,n.,NA,small mosquito
ngilke,ngilke,NA,n.,NA,mosquito
ngimarre,"ngimarre, Ngimarre",NA,n.,NA,zebra finch
ngimarre alarrewene,ngimarre alarrewene,2,n.,NA,Australian hobby
ngitarrenke,ngitarrenke,2,vi.,moan,talk while breathing in
ngke,ngke,NA,part.,NA,Give it here!
ngke+,"ngke+ |1, ngke+ |2",NA,pre.,2sg,Goes on the front of words for family and similar ...
ngkelthele,ngkelthele,2,n.,fingernail,"fingernail, teonail"
ngkenge,ngkenge,3,pr.,NA,you
ngkengwarre,ngkengwarre,NA,pr.,NA,your husband (who is my son-in-law).
ngkerralye,ngkerralye,2,n.,ribs,"rib, ribs"
ngkerrkare,ngkerrkare,NA,n.,NA,"uninhabited, desolate, with no people"
ngkerrke,ngkerrke,NA,n.,NA,"sore, rash, boil, pimple"
ngkerrke-ngkerrke,ngkerrke-ngkerrke,NA,n.,NA,"cracked, fissured skin, sores"
ngkerte,ngkerte,4,n.,naughty,"naughty, disobedient, rude, mean"
ngkerte-ngkerte,ngkerte-ngkerte,NA,n.,NA,"sook, cry-baby"
ngketharrpe,ngketharrpe,2,n.,NA,person with no siblings alive (used by people in t...
ngkewaye,ngkewaye,NA,n.,NA,"river, creek"
ngkeyenge,ngkeyenge,2,pr.,NA,"your, yours. The form of <em>ngkenge</em> 'you' th..."
ngkwanyarrenke,ngkwanyarrenke,NA,vi.,NA,tease or stir someone up
ngkwarle,ngkwarle,4,n.,NA,"honey, sugar, nectar, sweet food"
ngkwarlemaynteye,ngkwarlemaynteye,2,n.,NA,banana-flavoured bush tomato
ngkwarnte,Ngkwarnte,NA,n.,NA,Paddy's soak. Place on Hanson River
ngkweltyarre atnenke,Ngkweltyarre atnenke,NA,n.,NA,swamp north of Taylor Crossing
ngkweltye,ngkweltye,2,n.,NA,"small bits, pieces"
ngkweltye-ngkweltye,ngkweltye-ngkweltye,2,n.,NA,lots of bits and pieces
ngkweltyewenke,ngkweltyewenke,2,vt.,pulverise,pulverise something up by hitting it
ngkwengke,ngkwengke,NA,n.,NA,a cough
ngkwenke,ngkwenke,NA,vt.,NA,make a mark or design on something
ngkwepeyarenye,ngkwepeyarenye,NA,n.,NA,termites at the larval stage and when they first g...
ngkwepeye,ngkwepeye,2,n.,NA,"large termite mound, the ant bed of <em>enterrke</..."
ngkwerengke,ngkwerengke,2,n.,NA,bad news
ngkwererrpe,ngkwererrpe,NA,n.,NA,young son-in-law
ngkwernatilpe,ngkwernatilpe,2,n.,NA,"mulga native currant, narrow-leaved native currant..."
ngkwerne,ngkwerne,2,n.,NA,bone
ngkwerne-ngkwerne,ngkwerne-ngkwerne,NA,n.,NA,"thin, skinny, bony"
ngkwernerrparrenke,ngkwernerrparrenke,NA,vi.,NA,get old (of a man)
ngkwernerrpe,ngkwernerrpe,6,n.,NA,"woman's mother's mother's father, man's father's m..."
ngkwernerrpe-ngkwernerrpe,ngkwernerrpe-ngkwernerrpe,NA,n.,NA,old people
ngkwernetyewene,ngkwernetyewene,NA,n.,NA,meat ant
ngkwerrme,ngkwerrme,2,n.,NA,mistletoe that grows in red poverty bush <em>kenth...
ngkwethe,ngkwethe,NA,n.,edge,"edge, side"
ngkwethe-ngkwethe,ngkwethe-ngkwethe,NA,n.,NA,"further from the middle, towards the edges"
ngkweyange,ngkweyange,NA,n.,NA,edible nuts of the desert kurrajong <em>penge</em>...
ngkwiteke,ngkwiteke,2,n.,NA,slender pigweed
ngwalkere,ngwalkere,NA,n.,NA,boy at the age when he is nearly ready for initiat...
ngwarre,ngwarre,NA,kin.,NA,woman's husband who is my son-in-law. Women say th...
ngwaynenke,ngwaynenke,NA,vt.,NA,eat greedily
ngwelenthele,ngwelenthele,2,n.,NA,tomorrow
ngwemernte,ngwemernte,NA,n.,NA,"dark, blackness, pitch black"
ngwenerre,ngwenerre,NA,n.,NA,umbilical cord
ngwenge,ngwenge,NA,n.,NA,tomorrow
ngwentye-ngwentye,ngwentye-ngwentye,NA,n.,NA,"white ochre, soft pipeclay (from creek)"
ngwenyarre,ngwenyarre,2,n.,great-grandparent,"mother's mother's father, woman's cousin's son. Sp..."
ngwenye-ngwenye arenke,ngwenye-ngwenye arenke,NA,vt.,NA,look around to make sure no-one is watching you
ngwetyanpe,ngwetyanpe,2,n.,NA,morning
ngwetyanpe-ngwetyanpe,ngwetyanpe-ngwetyanpe,2,adv.,NA,every morning
ngwike,ngwike,NA,n.,NA,"old, leftover food or drink"
nhakarte,nhakarte,NA,dem.,NA,"long way over there, those in the distance"
nhamernarte,nhamernarte,NA,dem.,NA,"those things, particular things or people"
nhangakerre,nhangakerre,NA,dem.,NA,"all over, everywhere"
nhangangarte,nhangangarte,NA,dem.,NA,that sort of
nhangarte,nhangarte,2,dem.,NA,"all sorts of things, any sorts of things"
nhape,nhape,2,dem.,NA,"that (close by), just there (close by)"
nhaperte,"nhaperte |1, nhaperte |2",2,dem.,NA,"just over there, a short distance away"
nharte,nharte,3,dem.,NA,"that, that one. Used when that person is the doer ..."
nhe+,nhe+,NA,pre.,NA,"that, those. Goes before endings such as <em>-aper..."
nhenhengarte,nhenhengarte,NA,dem.,PST,on this side
nhetherrarte,nhetherrarte,NA,dem.,NA,those two
nile,nile,NA,n.,NA,needle
nipe-nipe,nipe-nipe,NA,n.,NA,scissors
nkwartetye,nkwartetye,NA,n.,stone knife,stone knife
nkwerleye,nkwerleye,2,n.,NA,"bush plum, wild plum, sandalwood"
nkwernarlepenhe,nkwernarlepenhe,NA,n.,NA,painted up ready to dance
npernpe,npernpe,NA,n.,NA,rock pituri
npernpe kwathenke,npernpe kwathenke,NA,vt.,NA,"slurp, suck"
ntame-ntame,ntame-ntame,NA,n.,NA,sad
ntange,ntange,NA,NA,NA,edible seeds
ntarrengenye,Ntarrengenye,NA,n.,NA,"Antarrengeny, Community on Utopia land Trust. Asso..."
ntarrenke,ntarrenke,3,vi.,NA,"sit, is."
ntarrkerte,ntarrkerte,2,n.,NA,soakage with no water and only clay
ntate,ntate,2,n.,hiding spot,"hiding spot, blind to hide hunters"
ntaylenke,ntaylenke,3,vt.,give,"give, take to something give. Special words are us..."
nte,nte,2,pr.,2sgERG,you (one person did something).
ntekakarle,ntekakarle,NA,n.,NA,ring-tailed dragon
ntelhanenke,ntelhanenke,2,vi.,NA,"lie about something, fib"
ntelhe-ntelhe,ntelhe-ntelhe,NA,n.,NA,"beautiful, pretty"
ntelhelepwenke,ntelhelepwenke,2,vt.,abuse someone,say things that aren't true because you are angry
nteltye,nteltye,2,n.,NA,type of large green grasshopper
ntelyape-lyape,ntelyape-lyape,2,n.,NA,butterfly
ntelyawerle,Ntelyawerle,NA,n.,NA,Stapleton's Pinnacle. Hill near Barrow Creek.
nterimpe,nterimpe,2,n.,NA,a type of very strong bush tobacco
nterre,nterre,NA,n.,NA,car
nterrenge,nterrenge,2,n.,NA,edible seeds
